UserID,lng,lat
7106,136.1779499,35.89398025
99,136.1807253,35.89425132
7101,136.1781024,35.89446942
95,136.1741541,35.89469778
7105,136.1782064,35.89483119
7100,136.178529,35.89521752
94,136.1747512,35.89551803
7728,136.1951469,35.89581484
7733,136.1953937,35.89582462
7099,136.1789304,35.89582558
93,136.1746871,35.89583074
7729,136.1951444,35.89586235
7731,136.1953813,35.89586466
7730,136.1951426,35.89592419
7732,136.1953785,35.89592723
7719,136.1951216,35.89594649
7718,136.1952112,35.89595058
7717,136.1953025,35.8959525
7716,136.1953917,35.89595335
7722,136.1951771,35.8960113
7721,136.1952667,35.89601197
7720,136.1953578,35.89601263
7727,136.1951351,35.89603814
7725,136.1953765,35.89604217
7726,136.1951328,35.89610034
7724,136.1953755,35.89610437
7734,136.1951328,35.89614208
7723,136.1953755,35.89614304
7121,136.18616,35.89630606
7123,136.1851283,35.89641465
7122,136.1853449,35.89662607
96,136.175245,35.89670604
7117,136.1860199,35.89684371
7124,136.1842463,35.89685249
7120,136.1865902,35.89688168
7118,136.1867844,35.89708718
7762,136.1850877,35.89726216
6950,136.1790026,35.8973362
7753,136.1802393,35.89738384
7763,136.1859966,35.89739083
7765,136.1841209,35.89750866
7119,136.1870841,35.89755393
92,136.1747213,35.89763854
7755,136.1800372,35.89776347
7737,136.1802128,35.89780106
7098,136.1789623,35.89780158
74,136.1753375,35.89780341
7764,136.1846876,35.8978067
7754,136.180048,35.89798791
7760,136.1860873,35.89803405
7115,136.1865363,35.8981244
7761,136.1854859,35.89817795
7105,136.1803673,35.89822586
97,136.1789415,35.89827622
7114,136.1866181,35.89845492
7759,136.1861139,35.89851916
7752,136.1804362,35.89865169
7104,136.1798326,35.89866125
7738,136.1805692,35.89868448
84,136.1731659,35.89874046
7116,136.1858472,35.89882985
7113,136.1863648,35.89887394
7134,136.1760441,35.89898002
81,136.1788609,35.89898019
7751,136.1811294,35.89898084
6491,136.1864948,35.8990296
7093,136.1762566,35.89904425
7094,136.1764785,35.89910631
7111,136.1862419,35.89913582
7110,136.1863075,35.8991487
7135,136.1767716,35.89918953
7139,136.1769948,35.89921056
83,136.1730413,35.89921768
7136,136.1769782,35.89924647
6975,136.1771061,35.8992625
6976,136.1771378,35.89927138
7140,136.1772841,35.89929316
7112,136.18615,35.89929967
6962,136.177263,35.89932402
7750,136.1812969,35.89938588
7137,136.1774771,35.89938744
7785,136.1863725,35.89941416
7665,136.1860429,35.89941522
6948,136.1777543,35.89946518
75,136.1731498,35.89948435
7783,136.1858657,35.89950113
7784,136.186217,35.89952213
7138,136.1780141,35.89953799
7095,136.1782282,35.89960186
6949,136.1784527,35.89966102
7739,136.1816659,35.89972606
8330,136.1721655,35.89988492
8325,136.1723672,35.89988797
7109,136.1854741,35.89989179
8317,136.1719498,35.89989821
8331,136.1725287,35.89989945
8332,136.1727033,35.89991417
8333,136.1728977,35.89992434
8337,136.1722311,35.90005682
8336,136.1724169,35.90006007
8338,136.1720311,35.90006639
8335,136.1725689,35.90007716
8334,136.172776,35.90009534
90,136.1790903,35.90012521
89,136.1792573,35.90017481
7749,136.1815,35.90018794
7781,136.18555,35.90020907
91,136.1794027,35.90043656
7126,136.1881308,35.9004415
7125,136.1884116,35.90053544
7748,136.181899,35.90054746
7758,136.1850941,35.90058693
7687,136.18444,35.90065194
7108,136.1851088,35.90070969
7741,136.1850726,35.90094655
7740,136.1847723,35.90095197
80,136.1780092,35.90105476
7746,136.1828272,35.90107024
577,136.203194,35.90111756
7745,136.1834746,35.90114561
7747,136.1821012,35.90119773
7742,136.1845988,35.9013998
7782,136.1854945,35.90143628
7744,136.1834644,35.90151476
7664,136.185013,35.90154574
7107,136.1853317,35.9016061
7743,136.1842447,35.90177345
7393,136.1777515,35.90178621
79,136.1776187,35.90180174
575,136.202964,35.90180764
576,136.203234,35.90181764
573,136.203134,35.90191759
7392,136.1777512,35.90206269
574,136.2029641,35.90213765
7106,136.1845753,35.90219293
7394,136.1785591,35.90236825
7757,136.184171,35.9023778
6731,136.1784046,35.90244483
6732,136.1785331,35.9024578
6747,136.1786467,35.90247728
6748,136.1786983,35.90248757
7395,136.1793052,35.90249956
6752,136.1787926,35.9025042
6751,136.1788558,35.90252078
6750,136.1789266,35.90253726
6721,136.1778686,35.90253919
6723,136.1779202,35.90254958
6756,136.1789969,35.90255266
6724,136.1779716,35.9025632
6725,136.1780348,35.90257014
6749,136.1790803,35.90257363
6726,136.1780903,35.9025806
6746,136.1791512,35.90258705
6727,136.1781302,35.90259091
6728,136.1781779,35.90259481
6722,136.1782177,35.90260827
6730,136.1783579,35.90260851
6720,136.1778251,35.90264905
6733,136.1786268,35.90268473
7756,136.1835927,35.90268518
6745,136.1791962,35.90269912
6754,136.1788208,35.90272528
6755,136.1789614,35.90274833
6757,136.1785656,35.9027985
6719,136.1777778,35.90283419
6753,136.1789867,35.90283474
7397,136.1787598,35.90285157
6739,136.1790361,35.90288415
7396,136.1792228,35.90291642
6740,136.1791039,35.90296437
6729,136.1784517,35.90298076
6744,136.1791012,35.90300954
6718,136.1781522,35.90301167
7102,136.1801802,35.90303641
6716,136.1777739,35.90305153
6743,136.1790752,35.90306069
6717,136.1780233,35.90309939
78,136.17701,35.90312225
6742,136.1790212,35.90315866
6738,136.1791037,35.90320695
6737,136.1791282,35.90324234
6734,136.1788486,35.90328639
6741,136.1790746,35.90328722
6736,136.179114,35.9032905
6735,136.1790842,35.90333904
7299,136.1776417,35.9033447
7298,136.1774258,35.90368648
7101,136.1780509,35.90380365
76,136.1766812,35.90474533
7213,136.1843985,35.90483343
7214,136.1844915,35.90484906
544,136.1821923,35.90496849
7340,136.1931622,35.9050067
7044,136.184438,35.90512129
19783,136.2037168,35.90520641
7339,136.1927468,35.90521596
19782,136.2044,35.905235
7040,136.1845401,35.90533973
7338,136.1927143,35.90535078
7705,136.1852344,35.90536147
7337,136.1930536,35.90547535
555,136.189503,35.90551842
77,136.1765634,35.9055623
543,136.1860026,35.90556851
7039,136.1845088,35.90558434
568,136.1938333,35.90563834
554,136.1849725,35.90570856
7215,136.1845646,35.90579843
7058,136.1845767,35.90585349
7219,136.184488,35.90585994
557,136.1910631,35.90588842
556,136.189843,35.90596842
545,136.1829124,35.90597863
7212,136.1845077,35.90606508
553,136.1859327,35.90606856
570,136.1929433,35.90613836
569,136.1933234,35.90619841
546,136.1837625,35.90620865
547,136.1832024,35.90627864
7041,136.1846265,35.90630792
558,136.1908331,35.90635843
7706,136.1885217,35.90638642
7694,136.1907205,35.90659731
559,136.1908531,35.90659846
7217,136.1845573,35.90660677
548,136.1865427,35.90661857
7216,136.1846662,35.90670251
560,136.1920532,35.90679847
7218,136.1845892,35.90692438
7042,136.1847134,35.9071345
7267,136.1934462,35.90716167
562,136.1907731,35.90725853
563,136.1921033,35.9072985
561,136.1909731,35.90735854
18839,136.1746607,35.90740149
6964,136.1805956,35.90750017
7483,136.184646,35.90750401
6965,136.1811026,35.90751166
7197,136.1817061,35.907524
7199,136.1822503,35.90753751
7043,136.18475,35.90753865
6966,136.1829219,35.90755578
7202,136.1835065,35.90757039
7479,136.1846982,35.90757515
7195,136.1808324,35.90757607
7204,136.1841567,35.90758743
7196,136.1813768,35.90759472
7264,136.1924566,35.90760308
6963,136.1847353,35.90760321
7198,136.1819669,35.90760483
7075,136.1804731,35.90761231
6967,136.1851829,35.90761541
7200,136.1825716,35.90762347
6968,136.185868,35.90763266
7201,136.1832331,35.90763887
7206,136.186387,35.9076433
7203,136.1837975,35.90765234
7208,136.1872713,35.90766473
7098,136.1814615,35.90766518
7480,136.1846722,35.90766885
7481,136.1845606,35.90767046
8304,136.1830257,35.9076711
7207,136.1878305,35.90767494
7484,136.1848583,35.90767829
7210,136.1884965,35.90768634
7096,136.1817118,35.90768896
7081,136.182496,35.90769678
7211,136.1891124,35.90769736
7205,136.1855479,35.90769823
7083,136.1822428,35.90769834
7084,136.1820805,35.90770228
7728,136.1826977,35.9077036
7085,136.1819987,35.90770835
6970,136.1860719,35.90770851
7478,136.1847037,35.90771315
7224,136.189759,35.90771329
7082,136.1823446,35.90771756
7263,136.1926261,35.90772026
6969,136.1868415,35.90773147
7225,136.1904569,35.90773201
7140,136.1822073,35.90773968
7209,136.1875052,35.90774387
7087,136.1819331,35.90774586
7227,136.1911499,35.90774678
6971,136.1881499,35.90775575
7222,136.1846587,35.90776676
6972,136.1887606,35.90776705
7141,136.1818474,35.90776862
7099,136.1812541,35.90777393
7482,136.1847376,35.90777511
6973,136.1894246,35.90777611
7086,136.1819707,35.90778322
6974,136.1900625,35.90779484
7095,136.1816372,35.90781058
7226,136.1908093,35.90781331
7229,136.1917284,35.90783852
7088,136.1818512,35.90784442
7097,136.1814296,35.90784921
7228,136.1914685,35.90785598
6629,136.1812589,35.9078711
7729,136.1822543,35.90788726
7089,136.1818927,35.90789628
7235,136.1937681,35.90790223
7266,136.192475,35.90791449
7231,136.1922506,35.90792873
7054,136.1846526,35.9079568
7233,136.1928309,35.90796684
7230,136.1919749,35.90796839
7094,136.1815683,35.90798521
7265,136.1921304,35.90800645
7234,136.1935275,35.90801331
7232,136.192474,35.90801816
7093,136.1817095,35.90803457
7223,136.1931623,35.90806132
7262,136.1925417,35.90806511
8305,136.1931151,35.9080796
6633,136.1928679,35.90813003
6634,136.1927387,35.90814619
6632,136.1929175,35.90817042
7053,136.18475,35.90818201
6635,136.1926657,35.9081821
7236,136.1936502,35.90819088
7090,136.1819389,35.90821379
7383,136.1888231,35.90822128
7080,136.1829031,35.90822846
7384,136.1892671,35.90823374
7092,136.1817878,35.90826937
7730,136.1815116,35.90829025
7382,136.1881274,35.90830504
6636,136.1925235,35.90836685
6631,136.1927786,35.90839015
7052,136.1846497,35.90840067
564,136.1896831,35.90844871
7079,136.182825,35.90849568
7091,136.1818586,35.90850039
7650,136.1894255,35.90850375
7076,136.1937046,35.90850972
7139,136.1822659,35.90854584
7078,136.1825558,35.90855405
7077,136.1821022,35.90857358
19912,136.1808711,35.90857562
7055,136.1847388,35.90859714
7261,136.1929599,35.90861801
18840,136.175091,35.9086801
7050,136.1846381,35.90868013
566,136.1912432,35.90872875
7237,136.1935907,35.90877457
7381,136.1881151,35.90880085
571,136.1895331,35.90883873
7100,136.1906086,35.9088455
7221,136.1847319,35.90887524
567,136.1917533,35.90891868
7646,136.1883083,35.90896596
7649,136.1881883,35.90896597
7648,136.1882285,35.9089678
7647,136.188275,35.90896799
7644,136.1883849,35.90896818
7645,136.1883496,35.90896878
7643,136.1884237,35.90897209
7642,136.1884639,35.90897356
7641,136.1885124,35.90897664
565,136.1906132,35.90900875
7640,136.1886594,35.90903644
7639,136.1886599,35.90907737
6630,136.1881376,35.90908116
7051,136.1846471,35.90910506
7638,136.1886619,35.90911694
7704,136.1863065,35.90913125
7637,136.1886624,35.90915434
7329,136.1878101,35.90925799
7634,136.1885607,35.90928125
7636,136.1881291,35.9093288
7049,136.1847043,35.90938892
7328,136.1880015,35.90941013
7635,136.1885177,35.90943294
7651,136.188384,35.90950733
7652,136.188382,35.90953077
7653,136.1883825,35.90954682
7654,136.1883824,35.90956368
7048,136.1846317,35.90961277
7046,136.1846253,35.90971708
18842,136.1754424,35.90971787
552,136.1838426,35.91000908
7047,136.1846225,35.91002231
551,136.1835126,35.91004907
7220,136.1847131,35.91021319
7045,136.1846087,35.91030042
550,136.1844626,35.91030903
549,136.1840627,35.91037906
18843,136.1756838,35.91043118
7301,136.1821324,35.91068642
7749,136.1943969,35.91072758
7748,136.1945039,35.91072876
7747,136.1946111,35.91073174
7751,136.1944502,35.91077203
7752,136.1945419,35.91077242
7750,136.1943551,35.91077308
7753,136.1946367,35.91077434
18758,136.1956509,35.91080064
19125,136.1963766,35.91080621
19780,136.1980079,35.91081958
7300,136.1819572,35.91084245
19781,136.198356,35.91086281
572,136.187573,35.91087906
18844,136.1759025,35.91119862
7145,136.1780617,35.91139195
7144,136.1775923,35.91146034
7143,136.1771248,35.91153008
18845,136.1760204,35.91153721
7142,136.176659,35.91159748
7141,136.1762023,35.91166467
19124,136.1919422,35.91170734
18841,136.1762261,35.91209544
18847,136.1763241,35.91242342
7567,136.2036497,35.9125382
7566,136.2036432,35.91270354
18848,136.1764058,35.91270509
18846,136.1764703,35.9128714
580,136.1894132,35.91334927
581,136.1920934,35.91352927
19123,136.1912707,35.91357646
579,136.1891333,35.91361933
578,136.187263,35.91370934
88,136.1824517,35.91390858
7710,136.1966837,35.91466729
7137,136.1961844,35.91473391
7058,136.1967463,35.91504615
7057,136.1961849,35.91508845
7329,136.1804834,35.91528606
7330,136.1805381,35.91531807
7327,136.18001,35.9153396
7324,136.1799222,35.91535352
7332,136.1805608,35.91538853
7331,136.1805874,35.91545141
7325,136.179942,35.91545472
7328,136.1805648,35.91549282
7326,136.1800446,35.91555571
7323,136.1799624,35.91556575
7759,136.1938282,35.91587689
7668,136.1938231,35.91593017
7760,136.1938188,35.91597336
7761,136.1938138,35.91602285
7762,136.1938083,35.91607217
7670,136.1938361,35.9161574
7763,136.1937748,35.91616544
7672,136.1939748,35.91616628
7764,136.1940923,35.91619873
7671,136.1938961,35.91620049
7669,136.1940364,35.91620792
7758,136.1940572,35.91628658
7757,136.1940496,35.91633455
7756,136.1940454,35.91638116
7755,136.1940415,35.91643102
7754,136.1940364,35.91647889
7796,136.1746455,35.91689538
18836,136.1748961,35.91771794
18838,136.1751394,35.91862497
582,136.195674,35.91917983
18837,136.175353,35.91927514
7029,136.1806583,35.92052685
583,136.1956441,35.92132007
585,136.1940439,35.92145013
584,136.194314,35.92159014
586,136.1978943,35.92164
7326,136.1874172,35.92186946
7324,136.1873526,35.92209158
7325,136.1869811,35.92217392
8287,136.1746196,35.92218497
7323,136.1873632,35.92240085
7116,136.1827058,35.92261076
7115,136.1824871,35.92279102
7318,136.182698,35.92330082
7317,136.1825394,35.9233181
7238,136.1827372,35.92345725
7239,136.1825516,35.92348034
7615,136.1864098,35.92348478
7614,136.1862054,35.92348726
6552,136.1865054,35.92353493
6553,136.1861436,35.92364367
6554,136.1863378,35.92368177
7240,136.1827525,35.92374362
7003,136.1825996,35.92374502
7536,136.1866756,35.92380771
7535,136.1861171,35.92386898
6550,136.1867607,35.92390854
6549,136.1866802,35.92390912
6551,136.1868474,35.92391084
6548,136.1865847,35.92391107
7540,136.1869595,35.92391346
7541,136.1865038,35.92391669
7241,136.1828259,35.9239932
6547,136.1864784,35.92400571
7539,136.1869874,35.92401357
7004,136.1826429,35.92401467
7538,136.186966,35.92409725
6546,136.1868717,35.92409785
7537,136.1865065,35.92409905
6543,136.1866005,35.92410071
6544,136.1866887,35.92410183
6545,136.1867791,35.92410656
8286,136.175449,35.92411887
7242,136.1828584,35.92419823
7243,136.182675,35.9242187
7314,136.1828467,35.92423999
7310,136.1826972,35.92426221
7316,136.1828649,35.92431793
7312,136.1827153,35.9243352
7466,136.1827784,35.92438098
7465,136.1828491,35.92440999
7315,136.1828891,35.92443959
7311,136.1827305,35.924452
7313,136.1828953,35.92454415
7309,136.1827497,35.92455744
7245,136.1829239,35.92458665
7244,136.1827391,35.924611
7246,136.1829626,35.92479861
7005,136.1827838,35.92482106
7467,136.1830048,35.92507051
7006,136.1828273,35.92508953
7247,136.183051,35.9253369
7007,136.1828718,35.92535881
7468,136.1830938,35.92558636
7248,136.1829153,35.92560673
7250,136.1831313,35.92584952
7249,136.1829651,35.92586492
7008,136.1876133,35.92641573
7117,136.1904156,35.92649407
6951,136.1786144,35.92965561
6952,136.1782841,35.929657
3899,136.2029739,35.9000874
6447,136.193223,35.90011764
197,136.1741714,35.90023819
212,136.1752215,35.90025811
6448,136.1931331,35.9002777
205,136.1747215,35.90036819
201,136.1750315,35.90036819
214,136.1744214,35.90050817
3898,136.2029939,35.90051744
6446,136.192873,35.90057776
6445,136.1932231,35.90059775
218,136.1753115,35.90063821
217,136.1758216,35.9006582
3896,136.2015238,35.90066758
227,136.1747315,35.90067818
226,136.1751915,35.90069815
3897,136.202924,35.90074752
229,136.1747214,35.90089824
6444,136.1926931,35.90093781
3903,136.2019539,35.9010076
6442,136.1932731,35.90101774
3894,136.2014939,35.90103758
6443,136.1929031,35.90104781
224,136.1742814,35.90106826
225,136.1747114,35.90108827
3895,136.202474,35.90112761
230,136.1750315,35.90115821
3893,136.203044,35.90130756
3890,136.2019439,35.90135764
3891,136.202224,35.90136763
6441,136.1932732,35.90136786
232,136.1745915,35.90142829
3892,136.2014639,35.90152765
231,136.1741915,35.90155832
228,136.1748615,35.90161828
3889,136.203034,35.90171764
233,136.1744515,35.90182837
3888,136.2009138,35.90189771
3887,136.2016339,35.90190768
3886,136.2022639,35.90191762
236,136.1747715,35.90191832
